Anbieter;Kurzbeschreibung Anbieter;Kurzbeschreibung des Angebots;Informationen zum Angebot;Webseite;Straße + Hausnummer des Angebotorts;Ort;PLZ des Angebotorts;Bezirk;Gratis?;Kategorie;Zielgruppen;X WGS 84;Y WGS 84;Sprache;Slug;Freigegeben
Energie Museum Berlin;The Energie Museum Berlin offers you over 5000 exhibits from more than a hundred years of development in electrical engineering.;Free admission;Admission is free, donations are welcome There are no fixed opening hours Tours are usually only possible with prior registration through our contact form However, there are also dates when tours are possible without prior registration (see website) For example, the express tour takes place every last Saturday of the month (except August and December) from 11 AM to 12 PM;https://www.energie-museum.de;Teltowkanalstraße 9;Berlin;12247;Steglitz-Zehlendorf;ja;Kultur;Erwachsene, Senioren, Familie;13,33011985;52,44339626;en;Energie-Museum Berlin;Ja
Erika-Heß-Eisstadion Wedding;Das Erika-Heß-Eisstadion ist die drittgrößte Eissporthalle Berlins. Sie wurde im Jahr 1967 fertiggestellt und ist die Heimstätte des Berliner Eishockeyvereins FASS Berlin;Ermäßigter Eintritt;ermäßigter Eintritt;https://www.berlin.de/special/sport-und-fitness/adressen/eisbahn/erikahesseisstadion-wedding-e0cdc1876dd0f3b06f479c0150002a85.html;Müllerstraße 185;Berlin;13353;Mitte;nein;Sport;Kinder, Erwachsene, Familie;13,37131891;52,53896673;de;Erika-Heß-Eisstadion Wedding;Ja
Erika-Heß Ice Stadium Wedding;The Erika-Heß Ice Stadium is the third largest ice sports hall in Berlin. It was completed in 1967 and is the home of the Berlin ice hockey club FASS Berlin;Reduced admission;reduced admission;https://www.berlin.de/special/sport-und-fitness/adressen/eisbahn/erikahesseisstadion-wedding-e0cdc1876dd0f3b06f479c0150002a85.html;Müllerstraße 185;Berlin;13353;Mitte;nein;Sport;Kinder, Erwachsene, Familie;13,37131891;52,53896673;en;Erika-Heß-Eisstadion Wedding;Ja
Erinnerungsstätte Notaufnahmelager Marienfelde;Die Ausstellung in der Erinnerungsstätte Notaufnahmelager Marienfelde dokumentiert auf rund 450 Quadratmetern die Geschichte der deutsch-deutschen Fluchtbewegung.;Freier Eintritt ;freier Eintritt, Fr-So 11-17 Uhr;https://www.stiftung-berliner-mauer.de/de/notaufnahmelager-marienfelde;Marienfelder Allee 66-80;Berlin;12277;Tempelhof-Schöneberg;ja;Kultur;Erwachsene, Senioren, Familie;13,36839085;52,42048924;de;Erinnerungsstätte Notaufnahmelager Marienfelde;Ja
Memorial Site Emergency Reception Center Marienfelde;The exhibition at the Memorial Site Emergency Reception Center Marienfelde documents the history of the German-German refugee movement on approximately 450 square meters.;Free admission;free admission, Fri-Sun 11 AM - 5 PM;https://www.stiftung-berliner-mauer.de/de/notaufnahmelager-marienfelde;Marienfelder Allee 66-80;Berlin;12277;Tempelhof-Schöneberg;ja;Kultur;Erwachsene, Senioren, Familie;13,36839085;52,42048924;en;Erinnerungsstätte Notaufnahmelager Marienfelde;Ja
Eva-Lichtspiele;Die Eva Lichtspiele sind ein Kino in Berlin-Wilmersdorf.;Ermäßigter Eintritt;ermäßigter Eintritt;https://www.eva-lichtspiele.de;Blissestraße 18;Berlin;10713;Charlottenburg-Wilmersdorf;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,32001007;52,48470321;de;Eva-Lichtspiele;Ja
Eva-Lichtspiele;The Eva Lichtspiele is a cinema in Berlin-Wilmersdorf.;Discounted admission;discounted admission;https://www.eva-lichtspiele.de;Blissestraße 18;Berlin;10713;Charlottenburg-Wilmersdorf;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,32001007;52,48470321;en;Eva-Lichtspiele;Ja
Familienfez im FEZ-Berlin;Riesiges Aktivitätszentrum in einem Waldpark mit Spielplätzen, Schwimmbad, Theater und interaktiven Exponaten.;Ermäßigter Eintritt;Ermäßigter Eintritt für viele Familienaktionen. Berechtigungsnachweis-Inhaber*innen bitte an der Kasse melden. je nach Programm;https://www.fez-berlin.de;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Kinder, Familie;13,54889976;52,46090777;de;Familienfez im FEZ-Berlin;Ja
Familienfez in FEZ-Berlin;Huge activity center in a forest park with playgrounds, swimming pool, theater, and interactive exhibits;Discounted admission;Discounted admission for many family activities Certificate holders please report to the cash desk depending on the program;https://www.fez-berlin.de;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Kinder, Familie;13,54889976;52,46090777;en;Familienfez im FEZ-Berlin;Ja
Feld-Theater für junges Publikum;Das Team gibt Künstler:innen aus der freien Szene Berlins sowie der nationalen und internationalen Szene eine Bühne, mit einem Schwerpunkt auf Tanz und Performance sowie auf Musiktheater.;Ermäßigter Eintritt;Berechtigungsnachweis-Inhaber*innen erhalten gegen Nachweis ermäßigten Eintritt. Ab März ist der Erwerb der Tickets auch online möglich.;https://jungesfeld.de;Gleditschstraße 5;Berlin;10781;Tempelhof-Schöneberg;nein;Kultur;Kinder, Familie;13,3553041;52,49641595;de;Feld-Theater für junges Publikum;Ja
Feld Theater for Young Audiences;The team provides a stage for artists from the independent scene in Berlin as well as from the national and international scene, with a focus on dance and performance as well as on musical theater.;Discounted admission;Holders of eligibility proof receive discounted admission upon presentation of evidence. From March, tickets can also be purchased online.;https://jungesfeld.de;Gleditschstraße 5;Berlin;10781;Tempelhof-Schöneberg;nein;Kultur;Kinder, Familie;13,3553041;52,49641595;en;Feld-Theater für junges Publikum;Ja
Feuerwehrmuseum;Das Feuerwehrmuseum Berlin in Berlin-Tegel zeigt seit 1983 eine Ausstellung über die Geschichte der Berliner Feuerwehr. ;Ermäßigter Eintritt;ermäßigter Eintritt, 2,50 Euro (statt 5 Euro);https://www.feuerwehrmuseum-berlin.de;Veitstraße 5;Berlin;13507;Reinickendorf;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,2856363;52,586131;de;Feuerwehrmuseum;Ja
Fire Department Museum;The Fire Department Museum Berlin in Berlin-Tegel has been showcasing an exhibition about the history of the Berlin fire department since 1983;Discounted admission;discounted admission, 2.50 euros (instead of 5 euros);https://www.feuerwehrmuseum-berlin.de;Veitstraße 5;Berlin;13507;Reinickendorf;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,2856363;52,586131;en;Feuerwehrmuseum;Ja
FEZ-Badesee;Der Badesee wurde 1950 künstlich angelegt und gehört zum FEZ-Berlin.;Ermäßigter Eintritt;Ermäßigter Eintritt. Berechtigungsnachweis-Inhaber*innen bitte an der Kasse melden. Mai bis September;https://baeder.fez-berlin.de/;An d. Wuhlheide 197;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Kinder, Familie;13,54438454;52,45707157;de;FEZ-Badesee;Ja
FEZ-Badesee;The swimming lake was artificially created in 1950 and belongs to FEZ-Berlin.;Discounted admission;Discounted admission. Holders of eligibility proof please report to the ticket office. May to September;https://baeder.fez-berlin.de/;An d. Wuhlheide 197;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Kinder, Familie;13,54438454;52,45707157;en;FEZ-Badesee;Ja
FEZ-Berlin, Berlins beste Ferien;Ob Winter-, Oster-, Sommer- oder Herbstferien, das FEZ-Berlin bietet ein spannendes Programm für alle Ferienkinder.;Ermäßigter Eintritt;Ermäßigter Eintritt für Ferienevents. Dieser entfällt für Schüler*innen, wenn die Schule das Bildungs- und Teilhabepaket in Anspruch nehmen kann. Berechtigungsnachweis-Inhaber*innen bitte an der Kasse melden. nach Programm;https://ferienfez.fez-berlin.de/;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Kinder, Familie;13,54889976;52,46090777;de;FEZ-Berlin, Berlins beste Ferien;Ja
FEZ-Berlin, Berlin's best holiday;Whether winter, Easter, summer, or autumn holidays, FEZ-Berlin offers an exciting program for all holiday children;Discounted entry;Discounted entry for holiday events. This is waived for students if the school can take advantage of the educational and participation package. Proof of eligibility holders please report to the box office. according to program;https://ferienfez.fez-berlin.de/;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Freizeit;Kinder, Familie;13,54889976;52,46090777;en;FEZ-Berlin, Berlins beste Ferien;Ja
FEZ-Schwimmhalle;Die FEZ-Schwimhallte bietet ausreichend Platz im 50m-Becken mit seinen 8 Bahnen. Eine weitere Besonderheit ist das 8 x 12 m große Lehrschwimmbecken.;Ermäßigter Eintritt;Ermäßigter Eintritt.  Berechtigungsnachweis-Inhaber*innen bitte an der Kasse melden.;https://baeder.fez-berlin.de/;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Sport;Kinder, Erwachsene, Familie, Senioren;13,54889976;52,46090777;de;FEZ-Schwimmhalle;Ja
FEZ Swimming Pool;The FEZ Swimming Pool offers ample space in the 50m pool with its 8 lanes. Another highlight is the 8 x 12 m teaching pool.;Discounted Admission;Discounted admission. Please report to the ticket counter if you hold a proof of eligibility.;https://baeder.fez-berlin.de/;Str. zum FEZ 2;Berlin;12459;Treptow-Köpenick;nein;Sport;Kinder, Erwachsene, Familie, Senioren;13,54889976;52,46090777;en;FEZ-Schwimmhalle;Ja
FHXB Friedrichshain-Kreuzberg Museum;Das FHXB Friedrichshain-Kreuzberg Museum beherbergt ein Archiv zur Geschichte der beiden Berliner Bezirksteile, wechselnde Ausstellungen zur Regional- und Stadtteilgeschichte und eine Dauerausstellung zur Stadtentwicklung und Migrationsgeschichte.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.fhxb-museum.de;Adalbertstraße 95A;Berlin;10999;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren;13,41821754;52,5006029;de;FHXB Friedrichshain-Kreuzberg Museum;Ja
FHXB Friedrichshain-Kreuzberg Museum;The FHXB Friedrichshain-Kreuzberg Museum houses an archive on the history of the two Berlin districts, changing exhibitions on regional and neighborhood history, and a permanent exhibition on urban development and migration history.;Free admission;free admission for all visitors;https://www.fhxb-museum.de;Adalbertstraße 95A;Berlin;10999;Friedrichshain-Kreuzberg;nein;Kultur;Erwachsene, Senioren;13,41821754;52,5006029;en;FHXB Friedrichshain-Kreuzberg Museum;Ja
Figurentheater Grashüpfer;Das Figurentheater Grashüpfer ist eine kleine intime Spielstätte im Treptower Park. Ein Stamm von Puppenspielbühnen bestimmen das Repertoire des Theaters.;Ermäßigter Eintritt;1 Erwachsene*r zahlt den ermäßigten Eintrittspreis von 6 Euro (statt 10 Euro) bei Familienvorstellungen. Gilt nicht für Premieren, Märchenabende, Märchenwanderungen und bei Veranstaltungen im Rahmen des Figurentheaterfestivals.;https://theater-treptower-park.de;Puschkinallee 16 A;Berlin;12435;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,46613142;52,49157231;de;Figurentheater Grashüpfer;Ja
Grasshopper Puppet Theatre;The Grasshopper Puppet Theatre is a small intimate venue in Treptower Park. A core group of puppet stages determines the theatre's repertoire.;Reduced admission;1 adult pays the reduced admission price of 6 euros (instead of 10 euros) for family performances. Does not apply to premieres, fairy tale evenings, fairy tale walks, and events as part of the puppet theatre festival.;https://theater-treptower-park.de;Puschkinallee 16 A;Berlin;12435;Treptow-Köpenick;nein;Kultur;Erwachsene, Senioren, Familie;13,46613142;52,49157231;en;Figurentheater Grashüpfer;Ja
filmkunst 66;Das kleine Kino zeigt internationale Indie-Filme in traditioneller Arthouse-Atmosphäre mit modernem Komfort.;Ermäßigter Eintritt;Berechtigungsnachweis-Inhaber*innen erhalten Mo, Mi-Fr und So bei Vorlage des Berechtigungsnachweiseses eine Ermäßigung von 1 Euro auf die regulären Preise, diese sind: Mo, Mi und Do 9 Euro, Fr-So 10 Euro, an Feiertagen 10 Euro. Wir bitten eventuelle Preiszuschläge bei Filmen mit √úberlänge zu berücksichtigen. Bitte beachten Sie, dass wir dienstags und am Samstagabend leider keine Ermäßigung gewähren.;https://filmkunst66.de/;Bleibtreustraße 12;Berlin;10623;Charlottenburg-Wilmersdorf;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,31966341;52,50440258;de;filmkunst 66;Ja
filmkunst 66;The small cinema shows international indie films in a traditional arthouse atmosphere with modern comfort.;Discounted admission;Eligible ticket holders receive a discount of 1 Euro on regular prices on Mon, Wed to Fri, and Sun upon presentation of the eligibility proof. The regular prices are: Mon, Wed and Thu 9 Euros, Fri to Sun 10 Euros, and on holidays 10 Euros. Please note any price surcharges for films with extended running times. Unfortunately, we cannot offer discounts on Tuesday and Saturday evenings.;https://filmkunst66.de/;Bleibtreustraße 12;Berlin;10623;Charlottenburg-Wilmersdorf;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,31966341;52,50440258;en;filmkunst 66;Ja
Filmtheater am Friedrichshain;Das Filmtheater am Friedrichshain ist ein Kino im Berliner Ortsteil Prenzlauer Berg des Bezirks Pankow, das sich im Bötzowviertel am Rande des namensgebenden Volksparks Friedrichshain befindet.;Ermäßigter Eintritt;ermäßigter Eintritt;http://www.yorck.de/preise-angebote;Bötzowstraße 1-5;Berlin;10407;Friedrichshain-Kreuzberg;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,43043628;52,52901423;de;Filmtheater am Friedrichshain;Ja
Filmtheater am Friedrichshain;The Filmtheater am Friedrichshain is a cinema located in the Prenzlauer Berg district of Berlin, situated in the Bötzowviertel at the edge of the park named Friedrichshain.;Reduced admission;reduced admission;http://www.yorck.de/preise-angebote;Bötzowstraße 1-5;Berlin;10407;Friedrichshain-Kreuzberg;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,43043628;52,52901423;en;Filmtheater am Friedrichshain;Ja
Forum Willy Brandt Berlin;Das Forum Willy Brandt Berlin beherbergt eine Ausstellung zu Willy Brandt und den politischen Entwicklungen im 20. Jahrhundert.;Freier Eintritt ;täglich von 11-17 Uhr;https://willy-brandt.de/ausstellungen/ausstellungen/forum-berlin/;Behrenstraße 15;Berlin;10117;Mitte;ja;Kultur;Erwachsene, Senioren;13,38644209;52,51533801;de;Forum Willy Brandt Berlin;Ja
Forum Willy Brandt Berlin;The Forum Willy Brandt Berlin hosts an exhibition about Willy Brandt and the political developments of the 20th century.;Free admission;daily from 11 AM to 5 PM;https://willy-brandt.de/ausstellungen/ausstellungen/forum-berlin/;Behrenstraße 15;Berlin;10117;Mitte;ja;Kultur;Erwachsene, Senioren;13,38644209;52,51533801;en;Forum Willy Brandt Berlin;Ja
Foxtrail-Folge der Spur;Findet den Fuchs im Großstadt-Dschungel. Wir mixen das Beste aus Schnitzeljagd, Sightseeing und Outdoor Escape Game.;Ermäßigter Eintritt;‚Ç¨ 22 pro Erwachsener (regulär ‚Ç¨ 27) / ‚Ç¨ 12 pro Kind¬† (regulär ‚Ç¨ 15) bei Vorlage des Berechtigungsnachweises;https://www.foxtrail.de;Reinhardtstraße 6;Berlin;10117;Mitte;nein;Freizeit;Kinder, Familie;13,38676857;52,52383724;de;Foxtrail-Folge der Spur;Ja
Foxtrail-Follow the Trail;Find the fox in the urban jungle. We mix the best of scavenger hunts, sightseeing, and outdoor escape games.;Discounted admission;€ 22 per adult (regularly € 27) / € 12 per child (regularly € 15) with proof of eligibility;https://www.foxtrail.de;Reinhardtstraße 6;Berlin;10117;Mitte;nein;Freizeit;Kinder, Familie;13,38676857;52,52383724;en;Foxtrail-Folge der Spur;Ja
Freilichtmuseum Domäne Dahlem;Biobauernhof in historischem Landgut mit Hofschmiede und Freilichtmuseum für Agrar- und Ernährungskultur.;Ermäßigter Eintritt;Gutshof und Freigelände sind außerhalb der Marktfeste und Events ohne Eintritt zugänglich. Ermäßigter Eintritt für den Museumsbesuch und die Marktfeste.;https://www.domaene-dahlem.de/;Königin-Luise-Straße 49;Berlin;14195;Steglitz-Zehlendorf;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,28865181;52,45833895;de;Freilichtmuseum Domäne Dahlem;Ja
Open-Air Museum Domäne Dahlem;Organic farm in a historic estate with a blacksmith shop and open-air museum for agricultural and food culture;Reduced admission;The manor and open grounds are accessible without admission outside of market festivals and events. Reduced admission for museum visits and market festivals;https://www.domaene-dahlem.de/;Königin-Luise-Straße 49;Berlin;14195;Steglitz-Zehlendorf;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,28865181;52,45833895;en;Freilichtmuseum Domäne Dahlem;Ja
Freiluftkino Friedrichshain;Zwangloses Freiluftkino mit Stühlen, Bänken auf amphitheaterartigen Stufen, Kissen für die Wiese und Imbiss.;Ermäßigter Eintritt;ermäßigter Eintritt, Saison von Mai bis September. Auch online buchbar.;https://www.freiluftkino-berlin.de/;im Volkspark, Ernst-Zinna-Weg;Berlin;10249;Friedrichshain-Kreuzberg;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,44477802;52,5224605;de;Freiluftkino Friedrichshain;Ja
Open Air Cinema Friedrichshain;Casual open-air cinema with chairs, benches on amphitheater-like steps, cushions for the lawn, and snacks.;Reduced admission;Reduced admission, season from May to September. Also bookable online.;https://www.freiluftkino-berlin.de/;im Volkspark, Ernst-Zinna-Weg;Berlin;10249;Friedrichshain-Kreuzberg;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,44477802;52,5224605;en;Freiluftkino Friedrichshain;Ja
Freiluftkino Hasenheide;Saisonal geöffnetes Freiluftkino mit Mainstream-, Indie- und Kultfilmen in idyllischer Umgebung.;Ermäßigter Eintritt;Berechtigungsnachweis-Tickets kosten 4 Euro (an allen Tagen, ohne Ausnahmen, ohne Aufschläge). 4,40 Euro bzw. 4 Euro bei online- Buchung.;https://www.freiluftkino-berlin.de/;Hasenheide;Berlin;10967;Neukölln;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,41574501;52,4884011;de;Freiluftkino Hasenheide;Ja
Freiluftkino Hasenheide;Seasonally open outdoor cinema featuring mainstream, indie, and cult films in an idyllic setting;Discounted admission;Eligibility proof tickets cost 4 euros (every day, without exceptions, without surcharges). 4.40 euros or 4 euros for online booking;https://www.freiluftkino-berlin.de/;Hasenheide;Berlin;10967;Neukölln;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,41574501;52,4884011;en;Freiluftkino Hasenheide;Ja
Freiluftkino Kreuzberg;Saisonal geöffnetes Freiluftkino mit Liegestühlen mit Decken, Popcorn und Bier in einem üppig grünen Innenhof.;Ermäßigter Eintritt;ermäßigter Eintritt, Saison von Mai bis September. Auch online buchbar.;https://www.freiluftkino-berlin.de/;Bethaniendamm 2;Berlin;10997;Friedrichshain-Kreuzberg;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,42444797;52,5038277;de;Freiluftkino Kreuzberg;Ja
Freiluftkino Kreuzberg;Seasonally open open-air cinema with loungers, blankets, popcorn, and beer in a lush green courtyard;Discounted admission;discounted admission, season from May to September. Also bookable online.;https://www.freiluftkino-berlin.de/;Bethaniendamm 2;Berlin;10997;Friedrichshain-Kreuzberg;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,42444797;52,5038277;en;Freiluftkino Kreuzberg;Ja
Freiluftkino Rehberge;Amphitheater mit 1.500 Sitzplätzen und deutsch synchronisierten Kinofilmen in einem bewaldeten Park.;Ermäßigter Eintritt;ermäßigter Eintritt, Saison von Mai bis September. Auch online buchbar.;https://www.freiluftkino-berlin.de/;Windhuker Str.;Berlin;13351;Mitte;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,33091325;52,55678;de;Freiluftkino Rehberge;Ja
Freiluftkino Rehberge;Amphitheater with 1,500 seats and German dubbed movies in a wooded park;Discounted entrance;discounted entrance, season from May to September. Also bookable online;https://www.freiluftkino-berlin.de/;Windhuker Str.;Berlin;13351;Mitte;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,33091325;52,55678;en;Freiluftkino Rehberge;Ja
Frieda-Beratungszentrum für Frauen;Bei FRIEDA können Sie sich beraten lassen, bei unseren Gruppen neue Kontakte knüpfen, bei unseren Kursen etwas Neues lernen oder bei Veranstaltungen mitdiskutieren.;Freier Eintritt ;Kostenlose Nutzung aller Beratungen, Gruppen und Abendveranstaltungen, Workshops, Lesungen, Filmabend, Ausstellungseröffnungen.;https://www.frieda-frauenzentrum.de;Proskauer Str. 7;Berlin;10247;Friedrichshain-Kreuzberg;nein;Bildung & Beratung;Erwachsene;13,46106016;52,51635647;de;Frieda-Beratungszentrum für Frauen;Ja
Frieda Counseling Center for Women;At FRIEDA, you can receive counseling, make new contacts in our groups, learn something new in our courses, or participate in discussions at events.;Free Admission;Free access to all counseling sessions, groups, evening events, workshops, readings, movie nights, and exhibition openings.;https://www.frieda-frauenzentrum.de;Proskauer Str. 7;Berlin;10247;Friedrichshain-Kreuzberg;nein;Bildung & Beratung;Erwachsene;13,46106016;52,51635647;en;Frieda-Beratungszentrum für Frauen;Ja
Friedrichstadt-Palast;Der Friedrichstadt-Palast ist ein Revuetheater in Berlin-Mitte.;Ermäßigter Eintritt;Ticket für 3 Euro nach Verfügbarkeit. Bei entsprechender Verfügbarkeit können ab 2 Wochen vor der Vorstellung Karten auch im Vorverkauf reserviert werden (Tel. 2326 2326). Ausgenommen sind Sonderveranstaltungen und Veranstaltungen zwischen dem 25.12. und 31.12. ,Abholung der reservierten Tickets am Tag der Vorstellung bis 1 Stunde vor Vorstellungsbeginn. Der Berechtigungsnachweis muss vorgelegt werden.;http://www.palast.berlin;Friedrichstraße 107;Berlin;10117;Mitte;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,38802147;52,52393972;de;Friedrichstadt-Palast;Ja
Friedrichstadt-Palast;The Friedrichstadt-Palast is a revue theater in Berlin-Mitte;Discounted admission;Ticket for 3 euros subject to availability. Tickets can be reserved for pre-sale starting 2 weeks before the performance if availability allows (Tel. 2326 2326). Special events and events between December 25 and December 31 are excluded. Reserved tickets must be picked up on the day of the performance up to 1 hour before the start of the show. Proof of eligibility must be presented.;http://www.palast.berlin;Friedrichstraße 107;Berlin;10117;Mitte;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,38802147;52,52393972;en;Friedrichstadt-Palast;Ja
fsk Kino am Oranienplatz;Internationale Independent-Filme in einem zwanglosen Kino mit gemütlichem Ambiente.;Ermäßigter Eintritt;ermäßigter Eintritt, 6,50 Euro (regulärer Preis 9 Euro, ermäßigt 8 Euro).;https://fsk-kino.peripherfilm.de;Segitzdamm 2;Berlin;10969;Friedrichshain-Kreuzberg;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,41468374;52,50169153;de;fsk Kino am Oranienplatz;Ja
fsk Cinema at Oranienplatz;International independent films in a casual cinema with a cozy atmosphere;Discounted admission;discounted admission, 6.50 Euros (regular price 9 Euros, reduced 8 Euros);https://fsk-kino.peripherfilm.de;Segitzdamm 2;Berlin;10969;Friedrichshain-Kreuzberg;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,41468374;52,50169153;en;fsk Kino am Oranienplatz;Ja
Galerie Neurotitan;Die neurotitan Galerie steht im Zentrum der Vereinsarbeit. Schwarzenberg e.V. fördert unkonventionelle Kunst durch die Bereitstellung von hellen und schönen Präsentationsräumen in einem der meist- frequentierten Quartiere der Stadt;Ermäßigter Eintritt;Eintritt 1 Euro | Spende erwünscht.;https://neurotitan.de/;Rosenthaler Str. 39;Berlin;10178;Mitte;nein;Kultur;Erwachsene, Senioren;13,40267895;52,5242025;de;Galerie Neurotitan;Ja
Neurotitan Gallery;The neurotitan gallery is at the center of the association's work. Schwarzenberg e.V. promotes unconventional art by providing bright and beautiful exhibition spaces in one of the most frequented neighborhoods of the city;Discounted admission;Admission 1 Euro | Donation appreciated;https://neurotitan.de/;Rosenthaler Str. 39;Berlin;10178;Mitte;nein;Kultur;Erwachsene, Senioren;13,40267895;52,5242025;en;Galerie Neurotitan;Ja
Galerie Parterre Berlin;Die Galerie Parterre ist eine kommunale Galerie des Bezirksamts Pankow von Berlin.;Freier Eintritt ;Kostenloser Eintritt zu Ausstellungen und Veranstaltungen bei Vorlage des Berechtigungsnachweiseses. Bei Angebot kostenlose Führungen nach Rücksprache.;https://www.berlin.de/kunst-und-kultur-pankow/einrichtungen/galerie-parterre-berlin/;Danziger Str. 101/Haus 103;Berlin;10405;Pankow;nein;Kultur;Erwachsene, Senioren;13,43059154;52,53804749;de;Galerie Parterre Berlin;Ja
Galerie Parterre Berlin;The Galerie Parterre is a municipal gallery of the District Office Pankow of Berlin;Free admission;Free admission to exhibitions and events upon presentation of proof of eligibility. Free tours available upon request;https://www.berlin.de/kunst-und-kultur-pankow/einrichtungen/galerie-parterre-berlin/;Danziger Str. 101/Haus 103;Berlin;10405;Pankow;nein;Kultur;Erwachsene, Senioren;13,43059154;52,53804749;en;Galerie Parterre Berlin;Ja
Gärten der Welt;Exotische Blumen und Pflanzen aus der Seilbahn oder aus der Nähe bewundern, fremde Kulturen entdecken, Musik unter freiem Himmel genießen, auf unseren Spielplätzen toben oder einfach die Seele baumeln lassen – die Gärten der Welt sind so vielfältig wie unsere Besucher*innen.;Ermäßigter Eintritt;ermäßigter Eintritt, ausgenommen Sonderveranstaltungen, 1. März - 31. Oktober -  3 Euro, 1. November - 28./29. Februar - 2 Euro;https://www.gaertenderwelt.de;Blumberger Damm 44;Berlin;12685;Marzahn-Hellersdorf;nein;Kultur;Erwachsene, Senioren, Familie;13,56975043;52,5382532;de;Gärten der Welt;Ja
Gardens of the World;Admire exotic flowers and plants from the cable car or up close, discover foreign cultures, enjoy music under the open sky, romp on our playgrounds, or simply let your soul dangle – the Gardens of the World are as diverse as our visitors;Discounted admission;discounted admission, excludes special events, March 1 - October 31 - 3 Euro, November 1 - February 28/29 - 2 Euro;https://www.gaertenderwelt.de;Blumberger Damm 44;Berlin;12685;Marzahn-Hellersdorf;nein;Kultur;Erwachsene, Senioren, Familie;13,56975043;52,5382532;en;Gärten der Welt;Ja
Gedenkstätte Berliner Mauer;Die Gedenkstätte Berliner Mauer erinnert an die Teilung Berlins durch die Mauer und die Todesopfer an der Berliner Mauer;Freier Eintritt ;freier Eintritt;http://www.stiftung-berliner-mauer.de;Bernauer Str. 111;Berlin;13355;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,38960449;52,53529443;de;Gedenkstätte Berliner Mauer;Ja
Berlin Wall Memorial;The Berlin Wall Memorial commemorates the division of Berlin by the wall and the victims who died at the Berlin Wall;Free admission;free admission;http://www.stiftung-berliner-mauer.de;Bernauer Str. 111;Berlin;13355;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,38960449;52,53529443;en;Gedenkstätte Berliner Mauer;Ja
Gedenkstätte Deutscher Widerstand;Die Gedenkstätte Deutscher Widerstand ist ein Denkmal und eine Bildungsstätte zur Erinnerung an den gesamten deutschen Widerstand gegen den Nationalsozialismus, die an der Berliner Stauffenbergstraße im sogenannten Bendlerblock untergebracht ist.;Freier Eintritt ;freier Eintritt für alle Besucher*innen;https://www.gdw-berlin.de/home/;Stauffenbergstraße 13;Berlin;10785;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,36313084;52,5077342;de;Gedenkstätte Deutscher Widerstand;Ja
Memorial to the German Resistance;The Memorial to the German Resistance is a monument and an educational institution to commemorate the entire German resistance against National Socialism, located on Stauffenbergstraße in Berlin in the so-called Bendlerblock.;Free admission;free admission for all visitors;https://www.gdw-berlin.de/home/;Stauffenbergstraße 13;Berlin;10785;Mitte;ja;Kultur;Erwachsene, Senioren, Familie;13,36313084;52,5077342;en;Gedenkstätte Deutscher Widerstand;Ja
